Image Path,Similarity (%),
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/11-7768_completed.png,61.53,79.989
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/23-6a02_completed.png,59.48,77.324
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/14-a0cc_not_completed.png,54.67,71.071
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/12-cf9b_completed.png,70.15,91.195
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/10-904a_completed.png,62.64,81.432
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/17-d1ce_completed.png,56.63,73.619
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/18-c018_completed.png,70.36,91.468
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/24-0651_not_completed.png,62.06,80.678
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/22-3821_completed.png,65.37,84.981
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/19-b0f1_completed.png,74.83,97.279
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/16-b829_completed.png,65.48,85.124
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/04-d1ec_completed.png,58.1,75.53
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/15-a96f_completed.png,54.59,70.967
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/28-75ee_completed.png,70.2,91.26
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/27-7b1d_completed.png,62.43,81.159
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/21-222f_completed.png,66.36,86.268
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/13-9b5c_completed.png,70.56,91.728
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/26-831f_completed.png,70.65,91.845
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/20-20b8_completed.png,58.87,76.531
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/03-fa1f_completed.png,60.64,78.832
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/dueling_ddqn/20/all/new/05-27dc_completed.png,54.95,71.435
,63.3595238095238,82.367380952381
